Filter,Config,ValidationROCAUC,ValidationBalancedAccuracy,TestROCAUC,TestBalancedAccuracy,TestAccuracy,TrainingSeconds,SelectedFeatures
none,{},0.49942004971002485,0.5179784589892296,0.5716540404040403,0.525462962962963,0.4897959183673469,2.0747596999999995,"volume, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 0.01, ""process_variance_ratio"": 0.0001}",0.4992543496271749,0.5107705053852527,0.48853114478114473,0.4861111111111111,0.45918367346938777,1.0456196000000002,"rsi_14, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 0.1, ""process_variance_ratio"": 0.0001}",0.48384424192212094,0.5,0.513047138047138,0.4949494949494949,0.4897959183673469,1.5237146,"rsi_14, macd, macd_signal"
kalman,"{""measurement_variance_ratio"": 1.0, ""process_variance_ratio"": 0.0001}",0.5234465617232809,0.49577464788732395,0.5363005050505051,0.4877946127946128,0.5051020408163265,1.5233635999999997,"volume, rsi_14, macd"
kalman,"{""measurement_variance_ratio"": 0.01, ""process_variance_ratio"": 0.001}",0.5307373653686827,0.5202154101077051,0.525462962962963,0.5084175084175084,0.4744897959183674,0.9991264999999991,"rsi_14, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 0.1, ""process_variance_ratio"": 0.001}",0.4992543496271749,0.5107705053852527,0.48853114478114473,0.4861111111111111,0.45918367346938777,1.2178630000000013,"rsi_14, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 1.0, ""process_variance_ratio"": 0.001}",0.48384424192212094,0.5,0.513047138047138,0.4949494949494949,0.4897959183673469,1.765495699999999,"rsi_14, macd, macd_signal"
kalman,"{""measurement_variance_ratio"": 0.01, ""process_variance_ratio"": 0.01}",0.46727423363711684,0.4792874896437448,0.5891203703703703,0.5351430976430976,0.5051020408163265,1.2519618999999995,"volume, rsi_14, adx_14"
kalman,"{""measurement_variance_ratio"": 0.1, ""process_variance_ratio"": 0.01}",0.5307373653686827,0.5202154101077051,0.525462962962963,0.5084175084175084,0.4744897959183674,1.0785149,"rsi_14, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 1.0, ""process_variance_ratio"": 0.01}",0.4992543496271749,0.5107705053852527,0.48853114478114473,0.4861111111111111,0.45918367346938777,1.0394936000000001,"rsi_14, macd, adx_14"
savgol,"{""polyorder"": 2, ""window_length"": 5}",0.4972659486329743,0.5062137531068766,0.571233164983165,0.525462962962963,0.4897959183673469,0.9221469000000013,"volume, macd, adx_14"
savgol,"{""polyorder"": 3, ""window_length"": 5}",0.4997514498757249,0.5120961060480531,0.5719696969696969,0.525462962962963,0.4897959183673469,0.8903941000000017,"volume, macd, adx_14"
savgol,"{""polyorder"": 2, ""window_length"": 7}",0.4971002485501242,0.5062137531068766,0.571864478114478,0.5311447811447811,0.49489795918367346,0.8905141000000008,"volume, macd, adx_14"
savgol,"{""polyorder"": 3, ""window_length"": 7}",0.4995857497928749,0.5062137531068766,0.5709175084175083,0.525462962962963,0.4897959183673469,0.9189428,"volume, macd, adx_14"
savgol,"{""polyorder"": 2, ""window_length"": 11}",0.46462303231151614,0.4676056338028169,0.5772306397306398,0.5686026936026936,0.5408163265306123,0.8807190000000027,"volume, rsi_14, adx_14"
savgol,"{""polyorder"": 3, ""window_length"": 11}",0.500248550124275,0.5003314001657001,0.5706018518518519,0.5311447811447811,0.49489795918367346,0.9974149000000025,"volume, macd, adx_14"
savgol,"{""polyorder"": 2, ""window_length"": 15}",0.5070422535211268,0.492046396023198,0.5433501683501684,0.525462962962963,0.4897959183673469,0.952349899999998,"rsi_14, macd, adx_14"
savgol,"{""polyorder"": 3, ""window_length"": 15}",0.4692626346313173,0.46056338028169014,0.5742845117845117,0.5597643097643097,0.5357142857142857,0.9064958000000019,"volume, rsi_14, adx_14"
rolling,"{""window_days"": 10}",0.5146644573322287,0.5014084507042254,0.577020202020202,0.5172558922558923,0.47959183673469385,1.0651645999999992,"volume, rsi_14, adx_14"
